feature,importance
hour_of_day,0.2429727285007855
is_night,0.15825587253485454
unusual_hour,0.14170867902601073
distance_from_home,0.10940370850840393
amount_time_interaction,0.06260215007824509
amount_percentile,0.05003352466232901
amount,0.048574079506066105
amount_log,0.04826327216441219
amount_distance_interaction,0.03942225615833729
high_amount_flag,0.02658030088370459
merchant_location,0.010477424247449282
customer_income,0.008291385007245989
avg_amount_ratio,0.00828224543091102
avg_amount_24h,0.007556689730126233
ratio_to_median_purchase,0.006770399751199624
distance_from_last_transaction,0.006419075259325999
customer_age,0.005575060731089064
foreign_transaction,0.003916574903533132
day_of_week,0.0028589448202740917
transaction_frequency,0.0027059255500160944
previous_transactions_24h,0.002379466852149415
merchant_category,0.002240202406429021
card_type,0.0009311025230838348
online_order,0.0009038441188070811
is_weekend,0.0008574026747215067
used_pin_number,0.0007237728099353115
repeat_retailer,0.0006697590750454758
used_chip,0.0006241520855090921
